symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
0,diesel,std,four,sedan,rwd,4.653007515402251,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,4.276666119016055,4200,31,39,9.81705782453774,mazda
0,gas,std,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,4.553876891600541,5000,19,24,9.65374331942474,peugeot
0,gas,std,four,wagon,fwd,4.5612182984589085,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,31,37,8.841881989497114,toyota
1,gas,std,four,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.92252495730139,nissan
0,gas,std,two,hatchback,fwd,4.56954300834494,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,4.454347296253507,5800,27,33,9.115480090952223,honda
1,gas,std,four,hatchback,fwd,4.540098189244376,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.736971085254146,dodge
2,gas,std,two,hatchback,fwd,4.540098189244376,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,4.290459441148391,4400,26,31,8.86120833720818,subaru
0,diesel,turbo,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,28,33,9.735068900911164,peugeot
3,gas,turbo,two,hatchback,fwd,4.563305981889393,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,4.976733742420574,5000,19,24,9.469931564261438,dodge
1,gas,std,two,hatchback,fwd,4.548599834499697,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,4.248495242049359,5400,38,43,8.747510946478448,chevrolet
3,gas,std,two,hatchback,rwd,4.633757642840004,183.5,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,5.081404364984463,5200,20,24,9.71462464769875,toyota
1,diesel,std,two,sedan,fwd,4.548599834499697,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,4.007333185232471,4800,45,50,8.867709208039386,nissan
-1,gas,std,four,sedan,fwd,4.628886712605407,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,4.5217885770490405,4200,29,34,9.09918532261002,toyota
1,gas,std,four,wagon,fwd,4.548599834499697,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.90231952852887,nissan
2,gas,std,two,sedan,fwd,4.603168183317418,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,4.700480365792417,5500,19,25,9.632334782035558,audi
2,gas,std,two,hardtop,rwd,4.589040804058207,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,4.7535901911063645,4800,24,30,9.041803370152845,toyota
3,gas,std,two,hatchback,rwd,4.557029810660157,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,4.61512051684126,6000,17,23,9.379661116592885,mazda
3,gas,std,two,convertible,rwd,4.4942386252808095,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,5.332718793265369,5900,17,25,10.519429662187102,porsche
2,gas,std,two,hatchback,fwd,4.540098189244376,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,4.219507705176107,5500,37,41,8.592115117933497,mitsubishi
0,gas,std,four,sedan,4wd,4.574710978503383,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,4.406719247264253,4800,24,25,9.130539301772627,subaru
3,gas,std,two,hatchback,rwd,4.514150787600923,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,5.075173815233827,5200,19,25,9.752606521576492,nissan
-1,gas,std,four,hatchback,fwd,4.628886712605407,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,4.5217885770490405,4200,27,32,9.327945614050446,toyota
1,gas,turbo,two,hatchback,rwd,4.631812116934513,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,5.1647859739235145,5000,19,24,9.711297461543568,mercury
-1,diesel,turbo,four,sedan,fwd,4.628886712605407,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,4.290459441148391,4500,30,33,9.277812087091196,toyota
2,gas,std,two,hatchback,fwd,4.461299815568389,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,4.330733340286331,6000,31,38,8.832733591996416,honda
0,gas,std,two,sedan,rwd,4.617098756853365,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,4.795790545596741,4250,21,28,9.950848123895966,bmw
0,gas,std,four,sedan,fwd,4.56954300834494,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,4.330733340286331,6000,30,34,8.894944460956886,honda
3,gas,std,two,hatchback,rwd,4.548599834499697,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,4.962844630259907,5500,19,27,9.999615579630348,porsche
1,gas,std,two,sedan,fwd,4.56954300834494,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,4.605170185988092,5500,25,31,9.244258590179644,honda
0,gas,std,four,sedan,fwd,4.5612182984589085,166.3,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,4.248495242049359,4800,30,37,8.844768827529695,toyota
3,gas,turbo,two,hatchback,fwd,4.596129441335942,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,5.075173815233827,5500,19,26,9.806425839692997,saab
2,gas,std,two,hatchback,4wd,4.535820107853298,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,4.290459441148391,4400,26,31,8.936298185228436,subaru
1,gas,std,two,hatchback,fwd,4.533674184283021,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,4.219507705176107,5000,31,38,8.715224041915372,mazda
0,gas,std,four,wagon,rwd,4.73795129722191,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,4.553876891600541,5000,19,24,9.722864552377755,peugeot
1,gas,std,two,hatchback,rwd,4.548599834499697,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,4.718498871295094,6600,26,29,9.16303909885817,toyota
0,gas,std,four,sedan,fwd,4.56954300834494,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,4.61512051684126,5800,24,28,9.468464892185638,honda
3,gas,turbo,two,hatchback,rwd,4.563305981889393,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,4.976733742420574,5000,19,24,9.454383987398135,plymouth
2,gas,std,two,hatchback,fwd,4.540098189244376,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.805225202632306,mitsubishi
1,gas,turbo,two,hatchback,fwd,4.540098189244376,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,4.624972813284271,5500,24,30,8.981807323377534,plymouth
1,gas,std,four,sedan,fwd,4.540098189244376,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.937087036176523,dodge
2,gas,turbo,four,sedan,fwd,4.596129441335942,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,5.075173815233827,5500,19,26,9.831991550831058,saab
-1,gas,std,four,sedan,rwd,4.692264892839025,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,4.736198448394496,5400,23,28,9.731809155840653,volvo
0,gas,turbo,four,sedan,rwd,4.68213122712422,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,4.955827057601261,5600,18,24,9.806425839692997,peugeot
1,gas,std,two,hatchback,rwd,4.548599834499697,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,5.0369526024136295,5000,19,26,9.711115659888671,alfa-romero
2,gas,std,two,hatchback,fwd,4.540098189244376,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.73052880173936,mitsubishi
2,gas,std,two,hatchback,rwd,4.564348191467836,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,4.499809670330265,5000,24,29,9.310004695089129,isuzu
1,gas,std,four,sedan,fwd,4.540098189244376,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.937087036176523,plymouth
3,gas,std,two,hardtop,rwd,4.4942386252808095,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,5.332718793265369,5900,17,25,10.434938994095775,porsche
1,gas,std,four,sedan,fwd,4.56746831880408,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,4.477336814478207,5000,25,32,8.85209276347713,mitsubishi
2,gas,std,two,hatchback,fwd,4.540098189244376,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,4.23410650459726,4900,31,36,8.540519016719735,subaru
0,gas,std,four,wagon,fwd,4.56954300834494,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,4.330733340286331,6000,30,34,8.894944460956886,honda
0,diesel,turbo,four,wagon,rwd,4.73795129722191,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,25,25,9.74537068443899,peugeot
1,gas,std,two,hatchback,fwd,4.593097604753822,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,4.430816798843313,4800,26,32,9.2681374707024,mazda
1,gas,std,two,hatchback,fwd,4.540098189244376,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.760453046315272,dodge
2,gas,std,four,sedan,fwd,4.596129441335942,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,4.700480365792417,5250,21,28,9.649240256170584,saab
0,diesel,turbo,four,sedan,fwd,4.609162207257629,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,4.219507705176107,4500,33,38,9.535679435605061,volkswagen
1,gas,std,two,hatchback,fwd,4.540098189244376,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,4.330733340286331,6000,30,34,8.784009071186633,honda
0,gas,std,four,sedan,rwd,4.617098756853365,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,4.61512051684126,5800,23,29,9.736547097780475,bmw
-1,gas,turbo,four,wagon,rwd,4.647271362006727,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,5.087596335232384,5100,17,22,9.849559210510572,volvo
1,gas,std,two,sedan,rwd,4.548599834499697,168.7,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,4.248495242049359,4800,29,34,8.994420665751292,toyota
1,gas,std,four,sedan,fwd,4.661550519424199,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,4.700480365792417,5500,19,25,9.781884730776879,audi
1,gas,turbo,two,sedan,fwd,4.540098189244376,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,4.624972813284271,5500,24,30,9.054621796976763,dodge
3,gas,std,two,hardtop,rwd,4.4942386252808095,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,5.332718793265369,5900,17,25,10.389856535868129,porsche
-2,gas,std,four,sedan,rwd,4.647271362006727,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,4.736198448394496,5400,24,28,9.679406061493943,volvo
0,gas,std,four,sedan,fwd,4.576770711466393,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,4.406719247264253,4800,32,37,8.871505346165781,subaru
2,gas,std,four,sedan,4wd,4.599152113662528,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,4.74493212836325,5500,18,22,9.767094927630573,audi
1,gas,std,two,hatchback,fwd,4.540098189244376,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,4.0943445622221,5500,38,42,8.593969030218288,honda
0,gas,std,four,wagon,rwd,4.73795129722191,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,4.574710978503383,5000,19,24,9.42867236629317,peugeot
2,diesel,turbo,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,4.219507705176107,4500,37,42,9.158520623246385,volkswagen
0,gas,std,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,4.574710978503383,5000,19,24,9.718963572186974,peugeot
0,gas,std,four,wagon,4wd,4.5736795188967205,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,4.406719247264253,4800,23,29,8.98882050177807,subaru
2,gas,std,two,sedan,rwd,4.617098756853365,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,4.61512051684126,5800,23,29,9.706864211031315,bmw
0,gas,std,four,sedan,fwd,4.593097604753822,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,4.430816798843313,4800,26,32,9.234545060673,mazda
1,gas,std,two,hatchback,fwd,4.540098189244376,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,37,41,8.625509334899697,plymouth
1,gas,std,two,hatchback,fwd,4.5612182984589085,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,35,39,8.584477938221834,toyota
2,gas,std,two,hardtop,rwd,4.589040804058207,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,4.7535901911063645,4800,24,30,9.323579767582693,toyota
3,gas,std,two,convertible,rwd,4.484131857611035,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,4.709530201312334,5000,21,27,9.510074525452104,alfa-romero
2,diesel,std,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,3.9512437185814275,4800,37,46,8.986571625268054,volkswagen
2,gas,std,two,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,4.442651256490317,5250,27,34,8.984066927653044,volkswagen
-1,diesel,turbo,four,sedan,rwd,4.750135956238277,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,4.812184355372417,4350,22,25,10.360912399575003,buick
-1,diesel,turbo,four,sedan,rwd,4.692264892839025,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,4.663439094112067,4800,26,27,10.019936365179374,volvo
