symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
0,gas,std,four,hatchback,fwd,4.593097604753822,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,4.430816798843313,4800,26,32,9.327678864393416,mazda
1,gas,std,two,sedan,fwd,4.548599834499697,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,4.248495242049359,5400,38,43,9.095658771892568,isuzu
1,gas,std,two,sedan,rwd,4.548599834499697,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,4.718498871295094,6600,26,29,9.13755460225053,toyota
-1,gas,std,four,wagon,fwd,4.637637376125593,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,4.477336814478207,5000,24,30,9.096163326913784,dodge
0,gas,std,four,sedan,fwd,4.56954300834494,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,4.454347296253507,5800,27,33,9.23941361946189,honda
0,diesel,turbo,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,28,33,9.487972108574462,peugeot
-1,gas,std,four,wagon,fwd,4.637637376125593,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,4.477336814478207,5000,24,30,9.096163326913784,plymouth
1,gas,turbo,two,hatchback,fwd,4.540098189244376,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,4.624972813284271,5500,24,30,8.981807323377534,dodge
0,gas,std,four,wagon,4wd,4.5612182984589085,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,27,32,9.080003870248179,toyota
3,gas,std,two,convertible,fwd,4.548599834499697,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,4.499809670330265,5500,24,29,9.358329249689632,volkswagen
3,gas,std,two,hatchback,fwd,4.56746831880408,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,4.477336814478207,5000,25,32,9.047703788498627,mitsubishi
0,gas,std,four,sedan,fwd,4.56954300834494,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,4.454347296253507,5800,27,33,9.087607606593886,honda
2,gas,std,two,convertible,rwd,4.589040804058207,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,4.7535901911063645,4800,24,30,9.77956697061665,toyota
0,gas,std,four,sedan,rwd,4.727387818712341,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,5.170483995038151,4750,15,19,10.381273322223919,jaguar
1,gas,std,two,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.895492631451633,nissan
0,diesel,std,four,sedan,fwd,4.5612182984589085,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,4.02535169073515,4500,34,36,8.974364841846596,toyota
0,gas,std,four,sedan,rwd,4.546481189639412,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,4.356708826689592,4800,24,29,8.82246957226897,isuzu
0,gas,std,four,sedan,fwd,4.576770711466393,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,4.406719247264253,4400,28,33,8.958668737047434,subaru
2,gas,std,four,sedan,fwd,4.603168183317418,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,4.624972813284271,5500,24,30,9.543234787249512,audi
3,gas,turbo,two,hatchback,rwd,4.514150787600923,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,5.298317366548036,5200,17,23,9.888323152016355,nissan
1,gas,std,four,sedan,fwd,4.533674184283021,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,4.219507705176107,5000,31,38,8.809116258125274,mazda
2,gas,std,four,sedan,fwd,4.596129441335942,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,4.700480365792417,5250,21,28,9.406729185981574,saab
2,gas,std,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,4.442651256490317,5250,27,34,9.01127949117793,volkswagen
0,gas,std,four,hatchback,fwd,4.5612182984589085,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,4.248495242049359,4800,28,34,9.03097444300786,toyota
3,gas,std,two,hatchback,fwd,4.548599834499697,165.7,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,4.499809670330265,5500,24,29,9.20833836930551,volkswagen
0,gas,std,two,sedan,rwd,4.624972813284271,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,5.568344503761097,5000,13,17,10.491274217438248,jaguar
3,gas,turbo,two,hatchback,fwd,4.56746831880408,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,4.7535901911063645,5500,23,30,9.20623194393164,mitsubishi
1,gas,std,two,hatchback,fwd,4.540098189244376,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,4.330733340286331,6000,30,34,8.871926251117628,honda
1,gas,std,four,wagon,fwd,4.661550519424199,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,4.700480365792417,5500,19,25,9.847974842605868,audi
0,diesel,turbo,four,wagon,rwd,4.73795129722191,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,25,25,9.536762272743895,peugeot
1,gas,std,two,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.802221746402456,nissan
3,gas,turbo,two,hatchback,fwd,4.563305981889393,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,4.976733742420574,5000,19,24,9.607033787697222,mitsubishi
-1,gas,std,four,wagon,rwd,4.6491870714048655,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,5.049856007249537,5200,19,24,9.66459564425378,toyota
2,gas,std,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,4.442651256490317,5250,27,34,9.047233034106032,volkswagen
1,gas,std,two,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.612321536507814,nissan
1,gas,turbo,four,sedan,fwd,4.661550519424199,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,4.941642422609304,5500,17,20,10.08058716534893,audi
0,gas,std,four,sedan,rwd,4.617098756853365,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,4.795790545596741,4250,21,28,9.9572652582166,bmw
1,gas,std,two,hatchback,fwd,4.593097604753822,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,4.430816798843313,4800,26,32,9.087607606593886,mazda
-1,gas,std,four,sedan,fwd,4.628886712605407,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,4.5217885770490405,4200,27,32,9.296334565143043,toyota
2,gas,std,two,hatchback,fwd,4.565389315976247,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,4.499809670330265,5100,23,31,9.199784858036667,renault
0,gas,std,four,sedan,rwd,4.700480365792417,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,5.204006687076795,5400,15,20,10.51542467767053,bmw
3,gas,std,two,convertible,rwd,4.570578741218473,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,5.043425116919247,4750,16,18,10.464702061835247,buick
-1,gas,std,four,sedan,rwd,4.6491870714048655,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,5.049856007249537,5200,20,24,9.660778845727078,toyota
3,gas,std,two,hatchback,fwd,4.596129441335942,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,4.700480365792417,5250,21,28,9.618468597503831,saab
2,gas,std,two,hatchback,rwd,4.589040804058207,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,4.7535901911063645,4800,24,30,9.354354132115088,toyota
-2,gas,turbo,four,sedan,rwd,4.647271362006727,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,5.087596335232384,5100,17,22,9.821192309809298,volvo
0,diesel,std,four,sedan,fwd,4.593097604753822,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,4.1588830833596715,4650,36,42,9.286838342948908,mazda
1,gas,std,four,sedan,fwd,4.533674184283021,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,4.219507705176107,5000,31,38,8.9085593751449,mazda
0,gas,std,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,4.574710978503383,5000,19,24,9.38429367909962,peugeot
1,gas,std,two,hatchback,fwd,4.533674184283021,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,4.219507705176107,5000,30,31,8.555451903533328,mazda
-1,gas,turbo,four,sedan,rwd,4.692264892839025,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,5.075173815233827,5300,19,25,9.854559878912704,volvo
2,gas,std,two,hatchback,rwd,4.589040804058207,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,4.7535901911063645,4800,24,30,9.20923976653215,toyota
3,gas,std,two,hatchback,rwd,4.557029810660157,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.255,9.4,4.90527477843843,6000,16,23,9.657906656102982,mazda
0,gas,std,four,sedan,rwd,4.727387818712341,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,5.170483995038151,4750,15,19,10.478695435231387,jaguar
-1,gas,std,four,sedan,fwd,4.56746831880408,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,4.7535901911063645,5500,23,30,9.13550906135318,mitsubishi
1,gas,std,two,hatchback,fwd,4.540098189244376,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,4.219507705176107,5500,37,41,8.625509334899697,dodge
3,gas,std,two,hatchback,rwd,4.557029810660157,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.255,9.4,4.61512051684126,6000,17,23,9.521128433142438,mazda
0,gas,std,four,sedan,fwd,4.5612182984589085,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,4.248495242049359,4800,38,47,8.953898535260459,toyota
-1,gas,std,four,wagon,rwd,4.647271362006727,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,4.736198448394496,5400,24,28,9.71202433782489,volvo
1,gas,std,two,hatchback,rwd,4.589040804058207,175.7,72.3,50.5,3366,dohcv,eight,203,mpfi,3.94,3.11,10.0,5.662960480135946,5750,17,28,10.354579095336446,porsche
0,gas,std,two,hatchback,fwd,4.56954300834494,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,4.454347296253507,5800,27,33,8.973984926689743,honda
0,gas,std,four,hatchback,fwd,4.5612182984589085,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,4.248495242049359,4800,30,37,8.881558488638976,toyota
0,gas,std,four,wagon,fwd,4.609162207257629,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,4.477336814478207,5500,25,31,9.416541202560081,volkswagen
3,gas,std,two,convertible,rwd,4.484131857611035,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,4.709530201312334,5000,21,27,9.711115659888671,alfa-romero
1,gas,std,two,hatchback,fwd,4.533674184283021,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,4.219507705176107,5000,31,38,8.823942326585245,mazda
0,gas,turbo,four,wagon,4wd,4.5736795188967205,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,4.709530201312334,4800,23,23,9.366831168735615,subaru
0,gas,std,four,wagon,fwd,4.565389315976247,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,4.499809670330265,5100,23,31,9.137231900155545,renault
1,gas,std,two,hatchback,fwd,4.5612182984589085,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,31,38,8.754318540250866,toyota
0,gas,std,four,sedan,fwd,4.609162207257629,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,5.0238805208462765,5200,19,25,9.510370887608827,nissan
0,gas,std,four,hatchback,fwd,4.576770711466393,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,4.574710978503383,5200,27,34,9.099297073182859,nissan
0,diesel,turbo,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,28,33,9.795345393916424,peugeot
1,gas,turbo,four,sedan,fwd,4.56746831880408,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,4.7535901911063645,5500,23,30,9.13550906135318,mitsubishi
1,gas,std,two,hardtop,rwd,4.718498871295094,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,5.214935757608986,4500,14,16,10.72326738402944,buick
1,gas,std,four,sedan,fwd,4.540098189244376,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.808668062106715,plymouth
-1,gas,turbo,four,sedan,rwd,4.692264892839025,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,4.736198448394496,5400,19,25,10.026810768568128,volvo
0,gas,std,four,sedan,fwd,4.548599834499697,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,4.248495242049359,5400,38,43,8.791029857045965,chevrolet
2,gas,std,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,4.605170185988092,5500,26,32,9.209840246934501,volkswagen
-1,gas,std,four,sedan,rwd,4.750135956238277,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,5.043425116919247,4750,16,18,10.439512977323862,buick
1,gas,std,two,hatchback,rwd,4.597138014290827,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,5.075173815233827,5200,19,25,9.820051594294094,nissan
1,gas,std,four,sedan,rwd,4.639571612705423,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,4.795790545596741,4250,20,25,10.109077944602749,bmw
1,gas,std,four,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.831857935197906,nissan
3,gas,std,two,hatchback,rwd,4.633757642840004,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,5.081404364984463,5200,19,24,9.680218993408767,toyota
0,gas,std,four,wagon,fwd,4.609162207257629,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,5.0238805208462765,5200,17,22,9.57491403870827,nissan
